name,confidence,un_weight,basemodel,learn,rampup,randaugment,frozen,alpha,super_loss,un_super_loss,SRC_student,SRC_teacher,TGT_student,TGT_teacher,student,teacher,mask,im
Meanteacher22_5_02,0.85,5.0,1.0,1,0.0,0.0,0.0,0.99,0.0035,0.00058,91.28,89.18,66.08,68.07,78.68,78.62,0.665,0.984
Meanteacher22_8,0.85,8.0,160.0,1,0.0,0.0,0.0,0.99,0.0031,0.0003,90.85,89.23,68.62,70.95,79.74,80.09,0.626,0.992
Meanteacher22_8_01,0.85,8.0,1.0,1,0.0,0.0,0.0,0.99,0.0044,0.00042,90.7,88.1,69.36,72.5,80.03,80.3,0.64,0.99
Meanteacher22_8_02,0.85,8.0,2.0,1,0.0,0.0,0.0,0.99,0.0047,0.00047,90.2,87.1,66.5,69.17,78.35,78.13,0.634,0.987
Meanteacher25,0.97,20.0,1.0,1,0.0,0.0,0.0,0.99,0.0067,0.00027,88.87,81.32,64.85,67.09,76.86,74.2,0.6,0.973
Meanteacher25_01,0.97,20.0,1.0,1,0.0,0.0,0.0,0.99,0.0065,0.00028,89.92,83.22,72.42,74.33,81.17,78.78,0.663,0.977
Meanteacher25_02,0.97,20.0,1.0,1,0.0,0.0,0.0,0.99,0.0074,0.0003,89.6,83.77,69.81,72.12,79.7,77.94,0.625,0.972
Meanteacher25_03,0.97,20.0,1.0,1,0.0,0.0,0.0,0.99,0.0063,0.00026,88.36,81.52,70.62,72.83,79.49,77.18,0.644,0.975
Meanteacher26,0.97,30.0,1.0,1,0.0,0.0,0.0,0.99,0.0104,0.00029,89.42,84.9,68.02,71.37,78.72,78.14,0.631,0.975
Meanteacher26_01,0.97,30.0,1.0,1,0.0,0.0,0.0,0.99,0.0108,0.00029,89.46,85.17,68.05,69.79,78.76,77.48,0.632,0.971
Meanteacher26_02,0.97,30.0,1.0,1,0.0,0.0,0.0,0.99,0.0088,0.00024,88.09,79.8,71.64,74.51,79.87,77.16,0.662,0.976
Meanteacher26_03,0.97,30.0,1.0,1,0.0,0.0,0.0,0.99,0.0112,0.00031,90.26,86.34,64.31,67.75,77.28,77.04,0.645,0.972
MeanteacherAL0.97,0.85,10.0,120.0,1,0.0,0.0,0.0,0.97,0.0066,0.00053,90.23,86.16,63.07,65.92,76.65,76.04,0.605,0.984
MeanteacherAL0.97_100,0.85,10.0,1.0,1,0.0,0.0,0.0,0.97,0.0049,0.00041,89.98,84.57,69.04,69.99,79.51,77.28,0.618,0.989
MeanteacherFROZEN_01,0.85,10.0,1.0,1,0.0,0.0,34.0,0.99,0.0053,0.00043,90.64,86.76,68.68,70.45,79.66,78.6,0.635,0.99
MeanteacherFROZEN_01_02,0.85,10.0,1.0,1,0.0,0.0,34.0,0.99,0.0057,0.00047,90.0,87.12,68.05,72.04,79.03,79.58,0.639,0.99
MeanteacherFROZEN_02,0.85,10.0,1.0,1,0.0,0.0,11.0,0.99,0.0033,0.00027,90.02,87.0,68.55,71.18,79.28,79.09,0.604,0.995
MeanteacherFROZEN_02_01,0.85,10.0,1.0,1,0.0,0.0,11.0,0.99,0.0053,0.00045,90.66,88.64,70.84,73.08,80.75,80.86,0.656,0.991
MeanteacherFROZEN_108,0.85,10.0,1.0,1,0.0,0.0,108.0,0.99,0.0066,0.00053,88.99,86.78,67.53,70.89,78.26,78.84,0.634,0.987
MeanteacherFROZEN_435,0.85,10.0,1.0,1,0.0,0.0,435.0,0.99,0.0196,0.00149,89.34,86.38,56.73,59.49,73.04,72.94,0.576,0.95
MeanteacherLR01,0.85,10.0,1.0,0.9,0.0,0.0,0.0,0.99,0.0052,0.00045,91.1,89.08,68.95,71.2,80.03,80.14,0.623,0.989
MeanteacherLR02,0.85,10.0,1.0,0.87,0.0,0.0,0.0,0.99,0.0063,0.00051,91.08,89.18,70.28,72.7,80.68,80.94,0.658,0.987
MeanteacherLR03,0.85,10.0,1.0,0.85,0.0,0.0,0.0,0.99,0.0066,0.00051,90.61,87.27,68.38,70.67,79.5,78.97,0.646,0.985
MeanteacherLR04,0.85,10.0,1.0,0.93,0.0,0.0,0.0,0.99,0.0068,0.00053,90.26,88.18,68.01,71.04,79.14,79.61,0.636,0.989
Meanteacherrand,0.85,10.0,1.0,1,0.0,1.0,0.0,0.99,0.0265,0.00157,84.84,63.96,74.59,75.56,79.72,69.76,0.677,0.956
Meanteacherrand_0.95,0.95,10.0,1.0,1,0.0,1.0,0.0,0.99,0.0231,0.00128,87.41,71.83,74.44,74.71,80.92,73.27,0.681,0.918
Meanteacherrand_0.999,0.95,10.0,1.0,1,0.0,1.0,0.0,0.9990000000000001,0.0262,0.00158,90.86,89.14,70.58,74.19,80.72,81.66,0.667,0.912
Meanteacherrand_05,0.95,5.0,2.0,1,0.0,1.0,0.0,0.99,0.0181,0.00182,90.15,83.55,72.5,72.63,81.32,78.09,0.682,0.873
Meanteacherrand_un_03,0.95,3.0,1.0,1,0.0,1.0,0.0,0.99,0.0168,0.00219,90.98,85.1,72.78,74.08,81.88,79.59,0.719,0.834
Meanteacherrand01,0.85,10.0,2.0,1,0.0,1.0,0.0,0.99,0.0236,0.00142,89.14,81.04,70.35,71.48,79.74,76.26,0.669,0.95
Meanteacherrand_0.999_0.85,0.85,10.0,1.0,1,0.0,1.0,0.0,0.9990000000000001,0.0236,0.0014,88.9,80.64,74.18,75.94,81.54,78.29,0.655,0.958
Meanteacherrand_0.999_01,0.95,10.0,1.0,1,0.0,1.0,0.0,0.9990000000000001,0.0247,0.00131,81.59,62.53,74.96,75.49,78.28,69.01,0.676,0.924
